 1 ,  331 ,    2 ,   52.113 
 1 ,  331 ,    3 ,   58.479 
 1 ,  331 ,    4 ,   62.467 
 1 ,  331 ,    5 ,   68.273 
 1 ,  331 ,   10 ,   79.384 
 1 ,  331 ,   15 ,   85.683 
 1 ,  331 ,   20 ,   93.570 
 1 ,  331 ,   30 ,   99.416 
 1 ,  331 ,   40 ,  107.467 
 1 ,  331 ,   50 ,  108.814 
 2 ,  331 ,    2 ,   12.291 
 2 ,  331 ,    3 ,   11.321 
 2 ,  331 ,    4 ,   24.355 
 2 ,  331 ,    5 ,   31.308 
 2 ,  331 ,   10 ,   54.933
 2 ,  331 ,   15 ,   91.912 
 2 ,  331 ,   20 ,   97.969 
 2 ,  331 ,   30 ,  138.208 
 2 ,  331 ,   40 ,  102.898 
 2 ,  331 ,   50 ,  143.708 
 4 ,  331 ,    2 ,    8.155 
 4 ,  331 ,    3 ,   11.901 
 4 ,  331 ,    4 ,   15.987 
 4 ,  331 ,    5 ,   19.513 
 4 ,  331 ,   10 ,   36.942 
 4 ,  331 ,   15 ,   57.315 
 4 ,  331 ,   20 ,   77.400 
 4 ,  331 ,   30 ,  127.591 
 4 ,  331 ,   40 ,  156.449 
 4 ,  331 ,   50 ,  192.293 
 6 ,  331 ,    2 ,    6.560 
 6 ,  331 ,    3 ,    9.919 
 6 ,  331 ,    4 ,   12.332 
 6 ,  331 ,    5 ,   14.901 
 6 ,  331 ,   10 ,   29.927 
 6 ,  331 ,   15 ,   47.939 
 6 ,  331 ,   20 ,   67.244 
 6 ,  331 ,   30 ,  101.562 
 6 ,  331 ,   40 ,  132.990 
 6 ,  331 ,   50 ,  159.410 
 8 ,  331 ,    2 ,    5.687 
 8 ,  331 ,    3 ,    8.308 
 8 ,  331 ,    4 ,   10.923 
 8 ,  331 ,    5 ,   13.120 
 8 ,  331 ,   10 ,   26.015 
 8 ,  331 ,   15 ,   44.644 
 8 ,  331 ,   20 ,   56.425 
 8 ,  331 ,   30 ,   82.310 
 8 ,  331 ,   40 ,  109.913 
 8 ,  331 ,   50 ,  126.073 
